Index,Name1,Title,Ministry of the Solicitor General,Purpose,Start Date,End Date,Destination,Attendees,Other Attendees,Air Fare,Other Transportation,Accommodation,Meals,Incidentals,Subtotal,Hospitality,Other Expenses,Total
"ABOU-HAMDE, WALID","ABOU-HAMDE, WALID",Staff to Minister,Labour,Provided support to the Minister at the Provincial Construction and Building Trades Council of Ontario Conference.,43754,43755,"Niagara Falls, ON",,,0,0,212.91,32.5,0,245.41,0,0,245.41
"ABOU-HAMDE, WALID","ABOU-HAMDE, WALID",Staff to Minister,Labour,Provided support to the Minister at the Electrical Contractors Association of Ontario Annual Meeting.,43760,43761,"Niagara Falls, ON",,,0,0,175.12,32.5,0,207.62,0,0,207.62
"ABOU-HAMDE, WALID","ABOU-HAMDE, WALID",Staff to Minister,"Labour, Training and Skills Development",Provided support to the Minister at an immigration conference.,43893,43901,"Ottawa, ON",,,530.16,162.45,233.86,32.5,0,958.97,0,0,958.97
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a Reciprocal Education Approach announcement.,43723,43725,"North Bay, Sudbury, ON",,,0,261.39,359.87,22.5,0,643.76,0,0,643.76
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister at the 2019 Association of Municipalities of Ontario Conference.,43695,43698,"Ottawa, ON",,,0,299.42,0,67.5,0,366.92,0,0,366.92
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during an announcement at the Six Nations Polytechnic STEAM Academy in Brantford.,43706,43707,"Brantford, ON",,,0,146.87,0,0,0,146.87,0,0,146.87
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event and a school visit.,43711,43711,"Toronto, ON",,,0,16.12,0,0,0,16.12,0,0,16.12
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister at a Green Communities Canada announcement.,43740,43740,"Bradford, ON",,,0,51.2,0,0,0,51.2,0,0,51.2
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during an announcement on childcare spaces.,43763,43763,"Vaughan, ON",,,0,29.6,0,0,0,29.6,0,0,29.6
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43763,43763,"Toronto, ON",,,0,15,0,0,0,15,0,0,15
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43795,43795,"Toronto, ON",,,0,4,0,0,0,4,0,0,4
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during an announcement on new actions to combat bullying in schools.,43796,43796,"Toronto, ON",,,0,16.97,0,0,0,16.97,0,0,16.97
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a tour in Brantford.,43706,43706,"Brantford, ON",,,0,87.58,0,0,0,87.58,0,0,87.58
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Attended the Ontario Public School Boards' Association Annual General Meeting.,43738,43738,"Toronto, ON",,,0,31.17,0,0,0,31.17,0,0,31.17
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43749,43749,"Toronto, ON",,,0,15,0,0,0,15,0,0,15
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43784,43784,"Toronto, ON",,,0,18.5,0,0,0,18.5,0,0,18.5
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43815,43815,"Mississauga, ON",,,0,11,0,0,0,11,0,0,11
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43786,43786,"Toronto, ON",,,0,6.83,0,0,0,6.83,0,0,6.83
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43817,43817,"Toronto, ON",,,0,9.01,0,0,0,9.01,0,0,9.01
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43787,43787,"Toronto, ON",,,0,4.15,0,0,0,4.15,0,0,4.15
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43788,43788,"Toronto, ON",,,0,20,0,0,0,20,0,0,20
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a school visit.,43791,43791,"Toronto, ON",,,0,10.27,0,0,0,10.27,0,0,10.27
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43760,43760,"Toronto, ON",,,0,7.7,0,0,0,7.7,0,0,7.7
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43762,43762,"Toronto, ON",,,0,7.28,0,0,0,7.28,0,0,7.28
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43770,43770,"Toronto, ON",,,0,6.33,0,0,0,6.33,0,0,6.33
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43773,43773,"Toronto, ON",,,0,20,0,0,0,20,0,0,20
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a labour disruption announcement.,43744,43745,"Toronto, ON",,,0,26.71,0,0,0,26.71,0,0,26.71
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a media event.,43777,43777,"Toronto, ON",,,0,15,0,0,0,15,0,0,15
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister at a funding announcement on mental health for students.,43749,43749,"Toronto, ON",,,0,26.47,0,0,0,26.47,0,0,26.47
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister at an Ontario Public School Boards' Association event.,43853,43853,"Toronto, ON",,,0,15.54,0,0,0,15.54,0,0,15.54
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,"Provided support to the Minister at the Meeting of the Council of Ministers of Education, Canada.",43650,43669,"Victoria, BC",,,922.29,0,362.02,12.5,0,1296.81,0,0,1296.81
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister at the 2019 Association of Municipalities of Ontario Conference.,43695,43697,"Ottawa, ON",,,1521.54,0,0,0,0,1521.54,0,0,1521.54
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a studio interview.,43845,43845,"Toronto, ON",,,0,4.37,0,0,0,4.37,0,0,4.37
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a studio interview.,43846,43846,"Toronto, ON",,,0,18.63,0,0,0,18.63,0,0,18.63
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a studio interview.,43847,43847,"Toronto, ON",,,0,26.25,0,0,0,26.25,0,0,26.25
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a studio interview.,43850,43850,"Toronto, ON",,,0,10.54,0,0,0,10.54,0,0,10.54
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Attended the Reviving Islamic Spirit Conference.,43820,43820,"Toronto, ON",,,0,30,0,0,0,30,0,0,30
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister at the 2020 Rural Ontario Municipal Association Conference.,43851,43851,"Toronto, ON",,,0,12.06,0,0,0,12.06,0,0,12.06
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a studio interview.,43865,43865,"Toronto, ON",,,0,18.79,0,0,0,18.79,0,0,18.79
"ADAMO, ALEXANDRA","ADAMO, ALEXANDRA",Staff to Minister,Education,Provided support to the Minister during a studio interview.,43868,43868,"Toronto, ON",,,0,10.16,0,0,0,10.16,0,0,10.16
"ADDISON, JANET","ADDISON, JANET",Staff to Minister,"Economic Development and Growth, Research and Innovation and Science",Provided support to the Minister at the 2019 Association of Municipalities of Ontario Conference.,43695,43697,"Ottawa, ON",,,0,116.85,392.49,0,0,509.34,0,0,509.34
"AMATO, RYAN","AMATO, RYAN",Staff to Minister,Transportation,Attended a Highway 3 widening announcement.,43689,43689,"Windsor, ON",,,779.98,0,0,0,0,779.98,0,0,779.98
"AMATO, RYAN","AMATO, RYAN",Staff to Minister,Transportation,Provided support to the Minister during the 2019 Association of Municipalities of Ontario Conference.,43695,43695,"Ottawa, ON",,,426.15,0,0,0,0,426.15,0,0,426.15
"AMATO, RYAN","AMATO, RYAN",Staff to Minister,Transportation,Provided support to the Minister at the Congres Mondial Acadien 2019.,43700,43700,"Moncton, NB",,,0,45.26,0,0,0,45.26,0,0,45.26
"AMATO, RYAN","AMATO, RYAN",Staff to Minister,Transportation,Provided support to the Minister during a Highway 3 widening announcement.,43689,43689,"Windsor, ON",,,0,33,0,22.5,0,55.5,0,0,55.5
"AMATO, RYAN","AMATO, RYAN",Staff to Minister,Transportation,Provided support to the Minister during an announcement at the ONroute Mallorytown North centre and at the Ottawa Confederation Line Launch.,43720,43722,"Ottawa, ON",,,0,0,578.2,112.5,0,690.7,0,0,690.7
